playertoken,country,message_text,platform,from,template_id,email_subject,fromName,application_id
s2tdtftr239276,PH,VN MESSAGE,sms,test,,,,2
s2mmgmqv584475,VN,test message,sms,test,,,,2
s2oxutki739774,TH,test message,sms,test,,,,2
s2nydfrq976541,VN,VN MESSAGE,sms,test,,,,2
s2bcelgz003769,VN,test message,sms,test,,,,1
s2poyuqr641549,TH,test message,sms,test,,,,1
s2zkdtrd297338,PH,VN MESSAGE,sms,test,,,,1
s2sthajs721606,VN,test message,sms,test,,,,1
s2yemnil959403,TH,test message,sms,test,,,,1
s2awrpph587154,VN,VN MESSAGE,sms,test,,,,1
